,CASENUM,VEH_NO,MDRDSTRDNAME
22567,201901489240,2,Not Distracted
22568,201901489240,3,Not Distracted
22569,201901489242,1,Not Reported
22570,201901489242,2,Not Reported
22571,201901489260,1,"Inattention (Inattentive), Details Unknown"
22572,201901489260,2,Not Reported
22573,201901489260,3,Not Reported
22574,201901489285,1,Not Reported
22575,201901489285,2,Not Reported
22576,201901489292,1,Not Reported
22577,201901489308,1,Not Reported
22578,201901489308,2,Not Reported
22579,201901489308,3,Not Reported
22580,201901489339,1,Distraction/Inattention
22581,201901489339,2,Not Reported
22582,201901489344,1,Not Reported
22583,201901489350,1,Not Reported
22584,201901489350,2,Not Reported
22585,201901489356,1,Not Reported
22586,201901489367,1,Not Reported
22587,201901489367,2,Not Reported
22588,201901489371,1,Not Reported
22589,201901489371,2,Not Reported
22590,201901489374,1,Not Reported
22591,201901489374,2,Not Reported
22592,201901489377,1,Not Reported
22593,201901489377,2,Not Reported
22594,201901489377,3,Not Reported
22595,201901489400,1,Not Reported
22596,201901489400,2,Not Reported
22597,201901489401,1,Not Reported
22598,201901489401,2,Not Reported
22599,201901489406,1,Not Reported
22600,201901489406,2,Not Reported
22601,201901489406,3,Not Reported
22602,201901489421,1,Other Mobile Phone Related
22603,201901489421,2,Not Reported
22604,201901489454,1,Not Distracted
22605,201901489460,1,Not Distracted
22606,201901489460,2,Not Distracted
22607,201901489496,1,Not Distracted
22608,201901489517,1,Not Reported
22609,201901489517,2,Not Reported
22610,201901489518,1,Not Reported
22611,201901489518,2,Not Reported
22612,201901489522,1,Not Reported
22613,201901489522,2,Not Reported
22614,201901489539,1,Not Distracted
22615,201901489542,1,Not Reported
22616,201901489558,1,Not Distracted
22617,201901489573,1,Not Reported
22618,201901489573,2,Not Reported
22619,201901489574,1,Not Reported
22620,201901489574,2,Not Reported
22621,201901489589,1,Not Reported
22622,201901489589,2,Not Reported
22623,201901489590,1,Distraction/Inattention
22624,201901489590,2,Not Reported
22625,201901489600,1,Not Reported
22626,201901489600,2,Distraction/Inattention
22627,201901489610,1,Not Distracted
22628,201901489613,1,Not Distracted
22629,201901489625,1,Not Distracted
22630,201901489641,1,Not Reported
22631,201901489641,2,Not Reported
22632,201901489647,1,Not Reported
22633,201901489657,1,Not Reported
22634,201901489657,2,Not Reported
22635,201901489678,1,Not Reported
22636,201901489678,2,Not Reported
22637,201901489698,1,Not Reported
22638,201901489698,2,Not Reported
22639,201901489704,1,Not Distracted
22640,201901489704,2,Not Distracted
22641,201901489717,1,Not Reported
22642,201901489717,2,Not Reported
22643,201901489738,1,Not Distracted
22644,201901489758,1,Not Distracted
22645,201901489769,1,Reported as Unknown if Distracted
22646,201901489777,1,Not Distracted
22647,201901489777,2,"Inattention (Inattentive), Details Unknown"
22648,201901489780,1,Not Distracted
22649,201901489780,2,Not Distracted
22650,201901489797,1,Reported as Unknown if Distracted
22651,201901489801,1,"Inattention (Inattentive), Details Unknown"
22652,201901489801,2,Not Distracted
22653,201901489803,1,Not Distracted
22654,201901489803,2,Not Distracted
22655,201901489804,1,Not Distracted
22656,201901489813,1,"Inattention (Inattentive), Details Unknown"
22657,201901489813,2,Not Distracted
22658,201901489834,1,Reported as Unknown if Distracted
22659,201901489842,1,Not Distracted
22660,201901489886,1,Reported as Unknown if Distracted
22661,201901489886,2,Not Distracted
22662,201901489887,1,"Inattention (Inattentive), Details Unknown"
22663,201901489887,2,Not Distracted
22664,201901489895,1,Not Distracted
22665,201901489895,2,Not Distracted
22666,201901490097,1,Not Reported
22667,201901490097,2,Not Reported
22668,201901490097,3,Not Reported
22669,201901490105,1,Distraction/Inattention
22670,201901490115,1,Not Reported
22671,201901490115,2,Distraction/Inattention
22672,201901490117,1,Distraction/Inattention
22673,201901490120,1,Distraction/Inattention
22674,201901490120,2,Not Reported
22675,201901490121,1,Not Reported
22676,201901490121,2,Not Reported
22677,201901490124,1,Not Reported
22678,201901490124,2,Not Reported
22679,201901490136,1,Not Reported
22680,201901490136,2,Not Reported
22681,201901490147,1,Not Reported
22682,201901490154,1,Not Reported
22683,201901490154,2,Not Reported
22684,201901490163,1,Not Reported
22685,201901490173,1,Not Reported
22686,201901490173,2,Not Reported
22687,201901490180,1,Not Reported
22688,201901490180,2,Not Reported
22689,201901490217,1,Not Reported
22690,201901490217,2,Not Reported
22691,201901490236,1,Not Reported
22692,201901490256,1,Not Reported
22693,201901490256,2,Not Reported
22694,201901490307,1,Not Reported
22695,201901490307,2,Not Reported
22696,201901490396,1,Not Reported
22697,201901490396,2,Not Reported
22698,201901490495,1,Not Distracted
22699,201901490509,1,Not Distracted
22700,201901490509,2,Not Distracted
22701,201901490512,1,Not Reported
22702,201901490535,1,Not Reported
22703,201901490535,2,Not Reported
22704,201901490537,1,Not Reported
22705,201901490588,1,Not Reported
22706,201901490588,2,Not Reported
22707,201901490589,1,Not Reported
22708,201901490591,1,Not Reported
22709,201901490591,2,Not Reported
22710,201901490593,1,Not Reported
22711,201901490593,2,Not Reported
22712,201901490639,1,Not Reported
22713,201901490639,2,Not Reported
22714,201901490734,1,Not Reported
22715,201901490734,2,Not Reported
22716,201901490734,3,Not Reported
22717,201901490735,1,Not Reported
22718,201901490735,2,Not Reported
22719,201901490848,1,Not Distracted
22720,201901490848,2,Not Distracted
22721,201901490918,1,Reported as Unknown if Distracted
22722,201901490927,1,Not Distracted
22723,201901490927,2,Not Distracted
22724,201901491077,1,Reported as Unknown if Distracted
22725,201901491077,2,Not Distracted
22726,201901491087,1,"Inattention (Inattentive), Details Unknown"
22727,201901491370,1,Not Distracted
22728,201901491370,2,Not Distracted
22729,201901491390,1,Not Distracted
22730,201901491410,1,Not Distracted
22731,201901491468,1,Not Distracted
22732,201901491468,2,Not Distracted
22733,201901491499,1,Not Reported
22734,201901491499,2,Not Distracted
22735,201901491508,1,Not Distracted
22736,201901491508,2,Not Distracted
22737,201901491534,1,Not Distracted
22738,201901491534,2,Not Distracted
22739,201901491541,1,"Inattention (Inattentive), Details Unknown"
22740,201901491557,1,Not Reported
22741,201901491557,2,Not Reported
22742,201901491569,1,Not Distracted
22743,201901491569,2,Reported as Unknown if Distracted
22744,201901491599,1,Reported as Unknown if Distracted
22745,201901491599,2,Reported as Unknown if Distracted
22746,201901491622,1,Reported as Unknown if Distracted
22747,201901491659,1,"Inattention (Inattentive), Details Unknown"
22748,201901491659,2,Not Distracted
22749,201901491659,3,Not Distracted
22750,201901491682,1,Not Distracted
22751,201901491682,2,Not Distracted
22752,201901491700,1,Not Distracted
22753,201901491702,1,Reported as Unknown if Distracted
22754,201901491702,2,Not Distracted
22755,201901491702,3,Not Distracted
22756,201901491721,1,Not Distracted
22757,201901491721,2,Not Distracted
22758,201901491730,1,Not Distracted
22759,201901491730,2,Not Distracted
22760,201901491737,1,"Inattention (Inattentive), Details Unknown"
22761,201901491737,2,Not Distracted
22762,201901491738,1,Not Distracted
22763,201901491740,1,Not Distracted
22764,201901491740,2,Not Distracted
22765,201901491755,1,Not Distracted
22766,201901491755,2,Not Distracted
22767,201901491799,1,Not Distracted
22768,201901491799,2,Not Distracted
22769,201901491809,1,"Inattention (Inattentive), Details Unknown"
22770,201901491809,2,Not Distracted
22771,201901491828,1,Not Distracted
22772,201901491828,2,Not Distracted
22773,201901491912,1,Not Distracted
22774,201901491912,2,Not Distracted
22775,201901491912,3,Not Distracted
22776,201901491961,1,Reported as Unknown if Distracted
22777,201901491961,2,Not Distracted
22778,201901491963,1,Not Distracted
22779,201901491963,2,Not Distracted
22780,201901492000,1,Not Distracted
22781,201901492000,2,Not Distracted
22782,201901492008,1,Reported as Unknown if Distracted
22783,201901492015,1,Not Distracted
22784,201901492020,1,Not Distracted
22785,201901492020,2,Not Distracted
22786,201901492022,1,Not Reported
22787,201901492022,2,Not Reported
22788,201901492022,3,Not Reported
22789,201901492023,1,Not Reported
22790,201901492023,2,Not Distracted
22791,201901492029,1,Not Distracted
22792,201901492029,2,Not Distracted
22793,201901492034,1,Other Mobile Phone Related
22794,201901492034,2,Not Distracted
22795,201901492036,1,Not Distracted
22796,201901492041,1,Not Distracted
22797,201901492041,2,Not Distracted
22798,201901492041,3,Not Distracted
22799,201901492047,1,"Distraction (Distracted), Details Unknown"
22800,201901492047,2,Not Distracted
22801,201901492047,3,Not Distracted
22802,201901492047,4,Not Distracted
22803,201901492053,1,Not Distracted
22804,201901492053,2,Not Distracted
22805,201901492069,1,Not Distracted
22806,201901492069,2,Not Distracted
22807,201901492081,1,Not Reported
22808,201901492084,1,"Inattention (Inattentive), Details Unknown"
22809,201901492084,2,Not Distracted
22810,201901492109,1,Not Distracted
22811,201901492109,2,Not Distracted
22812,201901492114,1,Not Reported
22813,201901492181,1,Not Distracted
22814,201901492181,2,Not Distracted
22815,201901492185,1,Not Distracted
22816,201901492185,2,Not Distracted
22817,201901492207,1,Not Reported
22818,201901492207,2,Not Distracted
22819,201901492210,1,"Distracted by Outside Person, Object or Event"
22820,201901492219,1,Not Distracted
22821,201901492219,2,Reported as Unknown if Distracted
22822,201901492221,1,Not Reported
22823,201901492221,2,Reported as Unknown if Distracted
22824,201901492275,1,"Inattention (Inattentive), Details Unknown"
22825,201901492275,2,Not Distracted
22826,201901492286,1,Not Distracted
22827,201901492286,2,Not Distracted
22828,201901492287,1,Not Distracted
22829,201901492287,2,Not Distracted
22830,201901492316,1,"Inattention (Inattentive), Details Unknown"
22831,201901492316,2,Not Distracted
22832,201901492352,1,Not Distracted
22833,201901492352,2,Not Distracted
22834,201901492354,1,Not Distracted
22835,201901492354,2,No Driver Present/Unknown if Driver present
22836,201901492365,1,Not Distracted
22837,201901492365,2,Not Distracted
22838,201901492378,1,Not Distracted
22839,201901492378,2,Not Distracted
22840,201901492404,1,Not Distracted
22841,201901492404,2,Not Distracted
22842,201901492404,3,Not Distracted
22843,201901492404,4,Not Distracted
22844,201901492421,1,Not Distracted
22845,201901492421,2,Not Distracted
22846,201901492425,1,Not Distracted
22847,201901492425,2,Not Distracted
22848,201901492439,1,Not Distracted
22849,201901492439,2,Not Distracted
22850,201901492440,1,Not Distracted
22851,201901492441,1,Not Distracted
22852,201901492441,2,Not Distracted
22853,201901492441,3,Not Distracted
22854,201901492444,1,Not Distracted
22855,201901492444,2,Not Distracted
22856,201901492444,3,Not Distracted
22857,201901492520,1,Not Reported
22858,201901492520,2,Not Reported
22859,201901492522,1,"Distracted by Outside Person, Object or Event"
22860,201901492522,2,Not Reported
22861,201901492525,1,Not Reported
22862,201901492525,2,Not Reported
22863,201901492543,1,Not Reported
22864,201901492546,1,Not Reported
22865,201901492546,2,Not Reported
22866,201901492549,1,Not Reported
22867,201901492549,2,Not Reported
22868,201901492567,1,Not Reported
22869,201901492567,2,Not Reported
22870,201901492575,1,Not Reported
22871,201901492575,2,Not Reported
22872,201901492577,1,Not Reported
22873,201901492577,2,Not Reported
22874,201901492582,1,Not Reported
22875,201901492587,1,Not Reported
22876,201901492587,2,Not Reported
22877,201901492601,1,Not Reported
22878,201901492601,2,Not Reported
22879,201901492611,1,Not Reported
22880,201901492611,2,Not Reported
22881,201901492630,1,Not Reported
22882,201901492630,2,Not Reported
22883,201901492638,1,Not Reported
22884,201901492638,2,Not Reported
22885,201901492640,1,Not Reported
22886,201901492640,2,Not Reported
22887,201901492645,1,Not Reported
22888,201901492645,2,Not Reported
22889,201901492657,1,Not Reported
22890,201901492668,1,Not Reported
22891,201901492668,2,Not Reported
22892,201901492668,3,Not Reported
22893,201901492670,1,Not Reported
22894,201901492684,1,Not Reported
22895,201901492684,2,Not Reported
22896,201901492688,1,Not Reported
22897,201901492688,2,Not Reported
22898,201901492705,1,Not Reported
22899,201901492705,2,Not Reported
22900,201901492705,3,Not Reported
22901,201901492711,1,Not Reported
22902,201901492711,2,Not Reported
22903,201901492711,3,Not Reported
22904,201901492730,1,Not Reported
22905,201901492730,2,Not Reported
22906,201901492732,1,Not Reported
22907,201901492732,2,Not Reported
22908,201901492734,1,"Distracted by Outside Person, Object or Event"
22909,201901492734,2,Not Reported
22910,201901492743,1,Not Reported
22911,201901492743,2,Not Reported
22912,201901492772,1,Not Reported
22913,201901492772,2,Not Reported
22914,201901492779,1,While Using or Reaching for Device/Object Brought into Vehicle
22915,201901492779,2,Not Reported
22916,201901492781,1,Not Reported
22917,201901492781,2,Not Reported
22918,201901492782,1,Not Reported
22919,201901492782,2,Not Reported
22920,201901492782,3,Not Reported
22921,201901492792,1,Not Reported
22922,201901492792,2,Not Reported
22923,201901492801,1,Not Reported
22924,201901492801,2,Not Reported
22925,201901492802,1,Not Reported
22926,201901492802,2,Not Reported
22927,201901492810,1,Not Reported
22928,201901492810,2,Not Reported
22929,201901492813,1,Not Reported
22930,201901492814,1,Not Reported
22931,201901492814,2,Not Reported
22932,201901492816,1,Not Reported
22933,201901492816,2,Not Reported
22934,201901492827,1,While Using or Reaching for Device/Object Brought into Vehicle
22935,201901492827,2,Not Reported
22936,201901492840,1,Not Reported
22937,201901492840,2,Not Reported
22938,201901492842,1,Not Distracted
22939,201901492842,2,Not Reported
22940,201901492845,1,Not Reported
22941,201901492848,1,Not Reported
22942,201901492848,2,Not Reported
22943,201901492848,3,Not Reported
22944,201901492848,4,Not Reported
22945,201901492851,1,Not Reported
22946,201901492852,1,"Distraction (Distracted), Details Unknown"
22947,201901492852,2,Not Reported
22948,201901492861,1,By Other Occupant(s)
22949,201901492861,2,Not Reported
22950,201901492868,1,Not Reported
22951,201901492885,1,Not Reported
22952,201901492885,2,Not Reported
22953,201901492894,1,Not Reported
22954,201901492894,2,Not Reported
22955,201901492896,1,Not Reported
22956,201901492896,2,Not Reported
22957,201901492906,1,Not Reported
22958,201901492906,2,Not Reported
22959,201901492909,1,Not Reported
22960,201901492909,2,Not Reported
22961,201901492914,1,Not Reported
22962,201901492914,2,Not Reported
22963,201901492935,1,Not Reported
22964,201901492935,2,Not Reported
22965,201901492935,3,Not Reported
22966,201901492941,1,Not Reported
22967,201901492941,2,Not Reported
22968,201901492949,1,Not Reported
22969,201901492949,2,Not Reported
22970,201901492954,1,Not Reported
22971,201901492954,2,Not Reported
22972,201901492959,1,Not Reported
22973,201901492959,2,Not Reported
22974,201901492959,3,Not Reported
22975,201901492961,1,"Distraction (Distracted), Details Unknown"
22976,201901492961,2,Not Reported
22977,201901492963,1,Not Reported
22978,201901492963,2,Not Reported
22979,201901492968,1,Not Distracted
22980,201901492974,1,"Inattention (Inattentive), Details Unknown"
22981,201901492974,2,Not Distracted
22982,201901492989,1,Not Reported
22983,201901492989,2,Not Distracted
22984,201901492990,1,Not Distracted
22985,201901492993,1,Reported as Unknown if Distracted
22986,201901493028,1,Not Reported
22987,201901493029,1,Not Reported
22988,201901493030,1,Not Reported
22989,201901493030,2,Not Reported
22990,201901493042,1,Not Reported
22991,201901493042,2,Not Reported
22992,201901493076,1,Not Distracted
22993,201901493076,2,Not Distracted
22994,201901493086,1,Not Distracted
22995,201901493086,2,Not Distracted
22996,201901493276,1,Not Distracted
22997,201901493276,2,Not Distracted
22998,201901493315,1,Not Distracted
22999,201901493325,1,Not Distracted
23000,201901493325,2,Not Distracted
23001,201901493386,1,Reported as Unknown if Distracted
23002,201901493525,1,Not Distracted
23003,201901493627,1,Not Distracted
23004,201901493627,2,Not Distracted
23005,201901493646,1,Not Distracted
23006,201901493646,2,Not Distracted
23007,201901493647,1,Not Distracted
23008,201901493647,2,Not Distracted
23009,201901493757,1,Not Distracted
23010,201901493757,2,Not Distracted
23011,201901493765,1,"Inattention (Inattentive), Details Unknown"
23012,201901493765,2,Not Distracted
23013,201901493845,1,Not Distracted
23014,201901493845,2,Not Distracted
23015,201901493847,1,Reported as Unknown if Distracted
23016,201901493914,1,Not Distracted
23017,201901493914,2,Not Distracted
23018,201901493914,3,Not Distracted
23019,201901493922,1,Not Distracted
23020,201901493922,2,Not Distracted
23021,201901493957,1,"Distracted by Outside Person, Object or Event"
23022,201901493957,2,Not Distracted
23023,201901493963,1,Not Distracted
23024,201901493963,2,Reported as Unknown if Distracted
23025,201901494006,1,Reported as Unknown if Distracted
23026,201901494006,2,Reported as Unknown if Distracted
23027,201901494037,1,Not Distracted
23028,201901494037,2,Not Distracted
23029,201901494055,1,Not Distracted
23030,201901494055,2,Not Distracted
23031,201901494059,1,Not Distracted
23032,201901494083,1,Not Distracted
23033,201901494083,2,Not Distracted
23034,201901494098,1,Not Reported
23035,201901494098,2,Not Distracted
23036,201901494098,3,Not Distracted
23037,201901494106,1,Not Distracted
23038,201901494106,2,Not Distracted
23039,201901494118,1,Not Distracted
23040,201901494118,2,Not Distracted
23041,201901494118,3,Not Reported
23042,201901494166,1,Not Distracted
23043,201901494166,2,Not Distracted
23044,201901494262,1,Not Reported
23045,201901494304,1,Not Distracted
23046,201901494304,2,Not Distracted
23047,201901494360,1,"Inattention (Inattentive), Details Unknown"
23048,201901494360,2,Not Distracted
23049,201901494379,1,Not Reported
23050,201901494388,1,While Using or Reaching for Device/Object Brought into Vehicle
23051,201901494388,2,Not Reported
23052,201901494395,1,Not Reported
23053,201901494395,2,Not Reported
23054,201901494401,1,Not Reported
23055,201901494401,2,Not Reported
23056,201901494406,1,Not Reported
23057,201901494406,2,Not Reported
23058,201901494432,1,"Inattention (Inattentive), Details Unknown"
23059,201901494434,1,Not Reported
23060,201901494434,2,Not Reported
23061,201901494439,1,Not Reported
23062,201901494439,2,Not Reported
23063,201901494449,1,Not Reported
23064,201901494449,2,Not Reported
23065,201901494453,1,Not Reported
23066,201901494453,2,Not Reported
23067,201901494472,1,Distraction/Inattention
23068,201901494472,2,Distraction/Inattention
23069,201901494480,1,Not Reported
23070,201901494480,2,Not Reported
23071,201901494515,1,Not Reported
23072,201901494515,2,Not Reported
23073,201901494549,1,Not Reported
23074,201901494559,1,Not Reported
23075,201901494559,2,Not Reported
23076,201901494560,1,Not Reported
23077,201901494560,2,Not Reported
23078,201901494568,1,Not Reported
23079,201901494572,1,Not Reported
23080,201901494572,2,Not Reported
23081,201901494579,1,"Inattention (Inattentive), Details Unknown"
23082,201901494579,2,Not Reported
23083,201901494588,1,Not Reported
23084,201901494588,2,Not Reported
23085,201901494590,1,Not Reported
23086,201901494590,2,Not Reported
23087,201901494610,1,Not Reported
23088,201901494610,2,Not Reported
23089,201901494611,1,Not Reported
23090,201901494611,2,Not Reported
23091,201901494628,1,Not Reported
23092,201901494628,2,Not Reported
23093,201901494647,1,"Inattention (Inattentive), Details Unknown"
23094,201901494647,2,Not Reported
23095,201901494648,1,Not Reported
23096,201901494648,2,Not Reported
23097,201901494700,1,Not Reported
23098,201901494712,1,Reported as Unknown if Distracted
23099,201901494712,2,Reported as Unknown if Distracted
23100,201901494720,1,Not Reported
23101,201901494720,2,Not Reported
23102,201901494720,3,Not Reported
23103,201901494721,1,Not Reported
23104,201901494721,2,Not Reported
23105,201901494728,1,Not Reported
23106,201901494728,2,Not Reported
23107,201901494739,1,Not Reported
23108,201901494739,2,Not Reported
23109,201901494792,1,Reported as Unknown if Distracted
23110,201901494792,2,Reported as Unknown if Distracted
23111,201901494799,1,Not Reported
23112,201901494799,2,Not Reported
23113,201901494807,1,Not Distracted
23114,201901494807,2,Not Distracted
23115,201901494807,3,Not Distracted
23116,201901494834,1,Not Distracted
23117,201901494842,1,Not Reported
23118,201901494844,1,Not Reported
23119,201901494844,2,Not Reported
23120,201901494852,1,Not Distracted
23121,201901494852,2,Not Distracted
23122,201901494854,1,Not Distracted
23123,201901494854,2,Not Distracted
23124,201901494855,1,Not Distracted
23125,201901494855,2,Not Distracted
23126,201901494857,1,Not Distracted
23127,201901494857,2,Not Distracted
23128,201901494857,3,Not Distracted
23129,201901494864,1,Not Distracted
23130,201901494864,2,Not Distracted
23131,201901494867,1,Not Reported
23132,201901494867,2,Not Reported
23133,201901494871,1,Not Reported
23134,201901494871,2,Not Reported
23135,201901494871,3,Not Reported
23136,201901494887,1,Not Reported
23137,201901494887,2,Not Reported
23138,201901494889,1,Not Distracted
23139,201901494895,1,Not Distracted
23140,201901494900,1,Not Distracted
23141,201901494900,2,Not Distracted
23142,201901494914,1,Not Distracted
23143,201901494914,2,Not Distracted
23144,201901494915,1,Not Distracted
23145,201901494915,2,Not Distracted
23146,201901494916,1,Not Distracted
23147,201901494916,2,Not Distracted
23148,201901494921,1,Not Distracted
23149,201901494921,2,Not Distracted
23150,201901494939,1,Not Distracted
23151,201901494959,1,Not Reported
23152,201901494969,1,Not Reported
23153,201901494971,1,Not Reported
23154,201901494973,1,Not Distracted
23155,201901494987,1,Not Distracted
23156,201901495007,1,Not Distracted
23157,201901495007,2,Not Distracted
23158,201901495010,1,Not Distracted
23159,201901495010,2,Not Distracted
23160,201901495029,1,Not Distracted
23161,201901495029,2,Not Distracted
23162,201901495031,1,Not Reported
23163,201901495031,2,Not Reported
23164,201901495034,1,Not Reported
23165,201901495034,2,Not Reported
23166,201901495034,3,Not Reported
23167,201901495035,1,Not Reported
23168,201901495054,1,Not Reported
23169,201901495054,2,Not Reported
23170,201901495072,1,Not Reported
23171,201901495072,2,Not Reported
23172,201901495077,1,Not Distracted
23173,201901495077,2,Not Reported
23174,201901495078,1,Not Reported
23175,201901495106,1,Not Reported
23176,201901495106,2,Not Reported
23177,201901495134,1,Not Reported
23178,201901495134,2,Not Reported
23179,201901495138,1,Not Reported
23180,201901495138,2,Not Reported
23181,201901495173,1,Not Reported
23182,201901495173,2,Not Reported
23183,201901495179,1,Not Distracted
23184,201901495180,1,Not Reported
23185,201901495180,2,Not Reported
23186,201901495186,1,Not Reported
23187,201901495189,1,Not Reported
23188,201901495189,2,Not Reported
23189,201901495192,1,Not Reported
23190,201901495197,1,Distraction/Inattention
23191,201901495211,1,Not Reported
23192,201901495211,2,Not Reported
23193,201901495212,1,Not Reported
23194,201901495212,2,Not Reported
23195,201901495228,1,Not Reported
23196,201901495228,2,Not Reported
23197,201901495234,1,Not Reported
23198,201901495234,2,Not Reported
23199,201901495235,1,Not Reported
23200,201901495235,2,Not Reported
23201,201901495237,1,"Distraction (Distracted), Details Unknown"
23202,201901495237,2,Not Reported
23203,201901495269,1,Not Reported
23204,201901495269,2,Not Reported
23205,201901495272,1,Not Reported
23206,201901495285,1,Not Reported
23207,201901495285,2,Not Reported
23208,201901495308,1,Distraction/Inattention
23209,201901495308,2,Distraction/Inattention
23210,201901495313,1,"Inattention (Inattentive), Details Unknown"
23211,201901495313,2,Not Reported
23212,201901495313,3,Not Reported
23213,201901495330,1,Not Reported
23214,201901495337,1,Not Reported
23215,201901495337,2,Not Reported
23216,201901495346,1,Not Reported
23217,201901495346,2,Not Reported
23218,201901495357,1,Not Reported
23219,201901495362,1,Not Distracted
23220,201901495362,2,Not Distracted
23221,201901495370,1,Reported as Unknown if Distracted
23222,201901495370,2,Not Distracted
23223,201901495378,1,Not Distracted
23224,201901495378,2,Not Distracted
23225,201901495378,3,Reported as Unknown if Distracted
23226,201901495379,1,"Inattention (Inattentive), Details Unknown"
23227,201901495393,1,Not Distracted
23228,201901495394,1,Not Distracted
23229,201901495394,2,Not Distracted
23230,201901495419,1,Reported as Unknown if Distracted
23231,201901495420,1,Not Distracted
23232,201901495421,1,Not Distracted
23233,201901495425,1,"Distracted by Outside Person, Object or Event"
23234,201901495436,1,Not Distracted
23235,201901495436,2,"Inattention (Inattentive), Details Unknown"
23236,201901495456,1,Reported as Unknown if Distracted
23237,201901495456,2,Not Distracted
23238,201901495481,1,Not Distracted
23239,201901495481,2,Not Distracted
23240,201901495484,1,Not Distracted
23241,201901495513,1,"Distraction (Distracted), Details Unknown"
23242,201901495514,1,"Inattention (Inattentive), Details Unknown"
23243,201901495514,2,Not Distracted
23244,201901495515,1,"Inattention (Inattentive), Details Unknown"
23245,201901495540,1,"Distraction (Distracted), Details Unknown"
23246,201901495540,2,"Distracted by Outside Person, Object or Event"
23247,201901495559,1,Not Reported
23248,201901495568,1,Not Reported
23249,201901495568,2,Not Reported
23250,201901495568,3,Not Reported
23251,201901495568,4,Not Reported
23252,201901495568,5,Not Reported
23253,201901495602,1,Not Reported
23254,201901495602,2,Not Reported
23255,201901495641,1,Not Reported
23256,201901495641,2,Not Reported
23257,201901495643,1,Not Reported
23258,201901495689,1,Not Reported
23259,201901495689,2,Not Reported
23260,201901495689,3,Not Reported
23261,201901495689,4,Not Reported
23262,201901495710,1,Not Reported
23263,201901495710,2,Not Reported
23264,201901495721,1,Not Reported
23265,201901495721,2,Not Reported
23266,201901495721,3,Not Reported
23267,201901495734,1,Not Reported
23268,201901495734,2,Not Reported
23269,201901495734,3,Not Reported
23270,201901495734,4,Not Reported
23271,201901495786,1,Not Reported
23272,201901495797,1,Not Reported
23273,201901495797,2,Not Reported
23274,201901495801,1,Not Reported
23275,201901495801,2,Not Reported
23276,201901495803,1,Not Reported
23277,201901495808,1,Not Reported
23278,201901495808,2,Not Reported
23279,201901495819,1,Not Reported
23280,201901495819,2,Not Reported
23281,201901495822,1,Not Reported
23282,201901495822,2,Not Reported
23283,201901495885,1,Not Distracted
23284,201901495885,2,Not Distracted
23285,201901496001,1,"Inattention (Inattentive), Details Unknown"
23286,201901496001,2,Not Reported
23287,201901496001,3,Not Reported
23288,201901496001,4,Not Reported
23289,201901496071,1,Not Reported
23290,201901496071,2,Not Reported
23291,201901496081,1,"Inattention (Inattentive), Details Unknown"
23292,201901496142,1,Not Reported
23293,201901496142,2,Not Reported
23294,201901496321,1,Not Reported
23295,201901496321,2,Not Reported
23296,201901496342,1,Not Reported
23297,201901496342,2,Not Reported
23298,201901496395,1,Not Distracted
23299,201901496395,2,Not Distracted
23300,201901496395,3,Not Distracted
23301,201901496489,1,Not Distracted
23302,201901496493,1,Reported as Unknown if Distracted
23303,201901496521,1,"Inattention (Inattentive), Details Unknown"
23304,201901496556,1,Reported as Unknown if Distracted
23305,201901496556,2,Not Distracted
23306,201901496566,1,Not Distracted
23307,201901496566,2,Not Distracted
23308,201901496570,1,Not Distracted
23309,201901496570,2,Not Distracted
23310,201901496629,1,Not Reported
23311,201901496629,2,Not Distracted
23312,201901496649,1,Not Distracted
23313,201901496669,1,"Inattention (Inattentive), Details Unknown"
23314,201901496669,2,Not Distracted
23315,201901496677,1,"Inattention (Inattentive), Details Unknown"
23316,201901496677,2,Not Distracted
23317,201901496700,1,Not Distracted
23318,201901496700,2,Not Distracted
23319,201901496721,1,Not Distracted
23320,201901496721,2,Reported as Unknown if Distracted
23321,201901496725,1,Not Distracted
23322,201901496751,1,Not Distracted
23323,201901496831,1,Reported as Unknown if Distracted
23324,201901496831,2,Not Reported
23325,201901496831,3,Not Reported
23326,201901496834,1,Not Distracted
23327,201901496834,2,Not Distracted
23328,201901496862,1,"Inattention (Inattentive), Details Unknown"
23329,201901496862,2,Not Distracted
23330,201901496894,1,Reported as Unknown if Distracted
23331,201901496894,2,Not Distracted
23332,201901496912,1,"Inattention (Inattentive), Details Unknown"
23333,201901496924,1,Reported as Unknown if Distracted
23334,201901496947,1,Not Reported
23335,201901496947,2,Not Reported
23336,201901496977,1,Not Reported
23337,201901496977,2,Not Reported
23338,201901496986,1,Not Reported
23339,201901496986,2,Not Reported
23340,201901496987,1,Not Reported
23341,201901496987,2,Not Reported
23342,201901496991,1,Not Reported
23343,201901496991,2,Not Reported
23344,201901496995,1,"Distraction (Distracted), Details Unknown"
23345,201901497007,1,Not Reported
23346,201901497007,2,Not Reported
23347,201901497008,1,Not Reported
23348,201901497008,2,Not Reported
23349,201901497009,1,Not Reported
23350,201901497014,1,Not Reported
23351,201901497014,2,Not Reported
23352,201901497015,1,Not Reported
23353,201901497018,1,Not Reported
23354,201901497027,1,Not Reported
23355,201901497027,2,Not Reported
23356,201901497029,1,"Inattention (Inattentive), Details Unknown"
23357,201901497029,2,Not Reported
23358,201901497029,3,Not Reported
